side,signal,entry_time,entry_index,entry_price,exit_time,exit_index,exit_price,exit_reason,pnl,position_notional,balance_after
short,hidden_bear,2025-08-08 02:12:00,5032,116853.6,2025-08-08 02:19:00,5039,116777.9,tp_rsi,0.06381901138952627,98.51362258,98.57744159
short,hidden_bear,2025-08-08 02:32:00,5052,116797.95,2025-08-08 02:39:00,5059,116733.0,tp_rsi,0.054817784312740196,98.57744159,98.63225937
short,hidden_bear,2025-08-08 04:30:00,5170,116789.07,2025-08-08 04:34:00,5174,116790.0,bull_div,-0.0007854159744007813,98.63225937,98.63147395
long,hidden_bull,2025-08-08 05:22:00,5222,116668.64,2025-08-08 05:36:00,5236,116584.01,bear_div,-0.07154606105281557,98.63147395,98.55992789
short,hidden_bear,2025-08-08 06:11:00,5271,116458.23,2025-08-08 06:25:00,5285,116573.35,bull_div,-0.09742736858269076,98.55992789,98.46250052
short,regular_bear,2025-08-08 06:41:00,5301,116676.52,2025-08-08 06:45:00,5305,116692.21,bull_div,-0.01324068144266755,98.46250052,98.44925984
short,regular_bear,2025-08-08 06:56:00,5316,116688.36,2025-08-08 07:08:00,5328,116601.84,tp_rsi,0.0729963979385536,98.44925984,98.52225624
short,regular_bear,2025-08-08 07:26:00,5346,116859.99,2025-08-08 08:00:00,5380,116783.86,tp_rsi,0.06418363862218078,98.52225624,98.58643988
short,hidden_bear,2025-08-08 08:45:00,5425,116533.56,2025-08-08 08:47:00,5427,116548.09,bull_div,-0.012292261314734444,98.58643988,98.57414762
long,hidden_bull,2025-08-08 09:04:00,5444,116558.43,2025-08-08 09:11:00,5451,116646.72,tp_rsi,0.07466737063437286,98.57414762,98.64881499
short,regular_bear,2025-08-08 09:15:00,5455,116572.82,2025-08-08 09:25:00,5465,116486.79,bull_div,0.07280219826191921,98.64881499,98.72161719
short,regular_bear,2025-08-08 09:58:00,5498,116685.17,2025-08-08 10:07:00,5507,116674.4,bull_div,0.00911197041694932,98.72161719,98.73072916
short,hidden_bear,2025-08-08 10:33:00,5533,116498.21,2025-08-08 10:42:00,5542,116480.34,tp_rsi,0.015144594325442226,98.73072916,98.74587375
short,hidden_bear,2025-08-08 10:52:00,5552,116414.42,2025-08-08 10:54:00,5554,116521.33,bull_div,-0.09068396649326471,98.74587375,98.65518978
short,regular_bear,2025-08-08 11:28:00,5588,116790.0,2025-08-08 11:29:00,5589,116761.23,bull_div,0.02430267839687475,98.65518978,98.67949246
short,hidden_bear,2025-08-08 12:20:00,5640,116569.97,2025-08-08 12:29:00,5649,116618.0,bull_div,-0.0406586363782515,98.67949246,98.63883382
long,regular_bull,2025-08-08 12:44:00,5664,116596.59,2025-08-08 13:13:00,5693,116595.67,tp_rsi,-0.0007783051555300867,98.63883382,98.63805551
long,hidden_bull,2025-08-08 13:31:00,5711,116698.5,2025-08-08 13:39:00,5719,116773.14,bear_div,0.06308859551122202,98.63805551,98.70114411
short,regular_bear,2025-08-08 13:44:00,5724,116820.37,2025-08-08 13:55:00,5735,116771.65,bull_div,0.041163366808710806,98.70114411,98.74230748
short,hidden_bear,2025-08-08 14:24:00,5764,116733.62,2025-08-08 14:34:00,5774,116528.99,tp_rsi,0.17309185117048045,98.74230748,98.91539933
short,hidden_bear,2025-08-08 14:43:00,5783,116498.76,2025-08-08 15:07:00,5807,116280.01,tp_rsi,0.18573368165839277,98.91539933,99.10113301
long,regular_bull,2025-08-08 15:14:00,5814,116336.0,2025-08-08 15:25:00,5825,116527.2,tp_rsi,0.16287423180710794,99.10113301,99.26400724
